flyFrom,flyTo,price,cityFrom,cityTo,countryFrom,countryTo,distance,duration,local_departure,category
TIA,ALC,631,Tirana,Alicante,Albania,Spain,1763.5,62100,2023-02-28 20:55:00,Beach
TIA,ALC,689,Tirana,Alicante,Albania,Spain,1763.5,63900,2023-02-28 17:45:00,Beach
TIA,ALC,707,Tirana,Alicante,Albania,Spain,1763.5,60300,2023-02-28 17:45:00,Beach
TIA,ALC,761,Tirana,Alicante,Albania,Spain,1763.5,72300,2023-02-28 19:00:00,Beach
TIA,ALC,839,Tirana,Alicante,Albania,Spain,1763.5,68100,2023-02-28 17:30:00,Beach
TIA,ALC,884,Tirana,Alicante,Albania,Spain,1763.5,69000,2023-02-28 19:00:00,Beach
TIA,ALC,901,Tirana,Alicante,Albania,Spain,1763.5,59700,2023-02-28 17:15:00,Beach
TIA,ALC,957,Tirana,Alicante,Albania,Spain,1763.5,59700,2023-02-28 17:15:00,Beach
TIA,ALC,1020,Tirana,Alicante,Albania,Spain,1763.5,59100,2023-02-28 20:00:00,Beach
TIA,LEI,332,Tirana,Almería,Albania,Spain,1968.22,188700,2023-02-28 17:15:00,Beach
TIA,LEI,336,Tirana,Almería,Albania,Spain,1968.22,209400,2023-02-28 11:30:00,Beach
TIA,LEI,344,Tirana,Almería,Albania,Spain,1968.22,186000,2023-02-28 18:00:00,Beach
TIA,LEI,344,Tirana,Almería,Albania,Spain,1968.22,194400,2023-02-28 15:40:00,Beach
TIA,LEI,348,Tirana,Almería,Albania,Spain,1968.22,175500,2023-02-28 20:55:00,Beach
TIA,LEI,377,Tirana,Almería,Albania,Spain,1968.22,182400,2023-02-28 19:00:00,Beach
TIA,LEI,384,Tirana,Almería,Albania,Spain,1968.22,97500,2023-02-28 12:20:00,Beach
TIA,LEI,406,Tirana,Almería,Albania,Spain,1968.22,193200,2023-02-28 16:00:00,Beach
TIA,LEI,422,Tirana,Almería,Albania,Spain,1968.22,193200,2023-02-28 16:00:00,Beach
TIA,LEI,446,Tirana,Almería,Albania,Spain,1968.22,144900,2023-02-28 17:15:00,Beach
TIA,LEI,452,Tirana,Almería,Albania,Spain,1968.22,73500,2023-02-28 19:00:00,Beach
TIA,LEI,458,Tirana,Almería,Albania,Spain,1968.22,138600,2023-02-28 19:00:00,Beach
TIA,LEI,464,Tirana,Almería,Albania,Spain,1968.22,149400,2023-02-28 16:00:00,Beach
TIA,LEI,476,Tirana,Almería,Albania,Spain,1968.22,91500,2023-02-28 12:20:00,Beach
TIA,LEI,480,Tirana,Almería,Albania,Spain,1968.22,149400,2023-02-28 16:00:00,Beach
TIA,LEI,543,Tirana,Almería,Albania,Spain,1968.22,75300,2023-02-28 14:50:00,Beach
TIA,LEI,559,Tirana,Almería,Albania,Spain,1968.22,71100,2023-02-28 16:00:00,Beach
TIA,LEI,564,Tirana,Almería,Albania,Spain,1968.22,135000,2023-02-28 20:00:00,Beach
TIA,LEI,568,Tirana,Almería,Albania,Spain,1968.22,131700,2023-02-28 20:55:00,Beach
TIA,LEI,580,Tirana,Almería,Albania,Spain,1968.22,138600,2023-02-28 19:00:00,Beach
TIA,LEI,583,Tirana,Almería,Albania,Spain,1968.22,75900,2023-02-28 14:40:00,Beach
TIA,LEI,592,Tirana,Almería,Albania,Spain,1968.22,71100,2023-02-28 16:00:00,Beach
TIA,LEI,629,Tirana,Almería,Albania,Spain,1968.22,72000,2023-02-28 15:45:00,Beach
TIA,LEI,631,Tirana,Almería,Albania,Spain,1968.22,100500,2023-02-28 16:00:00,Beach
TIA,LEI,647,Tirana,Almería,Albania,Spain,1968.22,100500,2023-02-28 16:00:00,Beach
TIA,LEI,649,Tirana,Almería,Albania,Spain,1968.22,131700,2023-02-28 20:55:00,Beach
TIA,LEI,684,Tirana,Almería,Albania,Spain,1968.22,75900,2023-02-28 14:10:00,Beach
TIA,LEI,763,Tirana,Almería,Albania,Spain,1968.22,69300,2023-02-28 16:00:00,Beach
TIA,LEI,773,Tirana,Almería,Albania,Spain,1968.22,63000,2023-02-28 16:00:00,Beach
TIA,LEI,789,Tirana,Almería,Albania,Spain,1968.22,63000,2023-02-28 16:00:00,Beach
TIA,LEI,850,Tirana,Almería,Albania,Spain,1968.22,83100,2023-02-28 19:00:00,Beach
TIA,LEI,857,Tirana,Almería,Albania,Spain,1968.22,69300,2023-02-28 16:00:00,Beach
TIA,LEI,943,Tirana,Almería,Albania,Spain,1968.22,69900,2023-02-28 20:00:00,Beach
TIA,LEI,1024,Tirana,Almería,Albania,Spain,1968.22,82800,2023-02-28 20:55:00,Beach
TIA,LEI,1067,Tirana,Almería,Albania,Spain,1968.22,66600,2023-02-28 20:55:00,Beach
TIA,LEI,1113,Tirana,Almería,Albania,Spain,1968.22,76200,2023-02-28 20:55:00,Beach
TIA,LEI,1652,Tirana,Almería,Albania,Spain,1968.22,73500,2023-02-28 19:00:00,Beach
TIA,OVD,219,Tirana,Asturias,Albania,Spain,2119.06,198600,2023-02-28 11:30:00,Nature
TIA,OVD,227,Tirana,Asturias,Albania,Spain,2119.06,186600,2023-02-28 11:30:00,Nature
TIA,OVD,231,Tirana,Asturias,Albania,Spain,2119.06,177900,2023-02-28 17:15:00,Nature
TIA,OVD,238,Tirana,Asturias,Albania,Spain,2119.06,165900,2023-02-28 17:15:00,Nature
TIA,OVD,240,Tirana,Asturias,Albania,Spain,2119.06,79500,2023-02-28 12:20:00,Nature
TIA,OVD,244,Tirana,Asturias,Albania,Spain,2119.06,135000,2023-02-28 20:55:00,Nature
TIA,OVD,249,Tirana,Asturias,Albania,Spain,2119.06,132300,2023-02-28 20:55:00,Nature
TIA,OVD,317,Tirana,Asturias,Albania,Spain,2119.06,81600,2023-02-28 17:15:00,Nature
TIA,OVD,322,Tirana,Asturias,Albania,Spain,2119.06,105300,2023-02-28 19:00:00,Nature
TIA,OVD,322,Tirana,Asturias,Albania,Spain,2119.06,169200,2023-02-28 19:00:00,Nature
TIA,OVD,329,Tirana,Asturias,Albania,Spain,2119.06,92100,2023-02-28 20:55:00,Nature
TIA,OVD,334,Tirana,Asturias,Albania,Spain,2119.06,86100,2023-02-28 16:00:00,Nature
TIA,OVD,334,Tirana,Asturias,Albania,Spain,2119.06,99000,2023-02-28 19:00:00,Nature
TIA,OVD,350,Tirana,Asturias,Albania,Spain,2119.06,86100,2023-02-28 16:00:00,Nature
TIA,OVD,350,Tirana,Asturias,Albania,Spain,2119.06,169200,2023-02-28 19:00:00,Nature
TIA,OVD,376,Tirana,Asturias,Albania,Spain,2119.06,116100,2023-02-28 16:00:00,Nature
TIA,OVD,393,Tirana,Asturias,Albania,Spain,2119.06,78600,2023-02-28 13:15:00,Nature
TIA,OVD,408,Tirana,Asturias,Albania,Spain,2119.06,105300,2023-02-28 19:00:00,Nature
TIA,OVD,410,Tirana,Asturias,Albania,Spain,2119.06,92100,2023-02-28 20:55:00,Nature
TIA,OVD,418,Tirana,Asturias,Albania,Spain,2119.06,67200,2023-02-28 15:45:00,Nature
TIA,OVD,440,Tirana,Asturias,Albania,Spain,2119.06,66300,2023-02-28 16:00:00,Nature
TIA,OVD,441,Tirana,Asturias,Albania,Spain,2119.06,73800,2023-02-28 17:15:00,Nature
TIA,OVD,462,Tirana,Asturias,Albania,Spain,2119.06,78900,2023-02-28 18:00:00,Nature
TIA,OVD,463,Tirana,Asturias,Albania,Spain,2119.06,71100,2023-02-28 18:00:00,Nature
TIA,OVD,540,Tirana,Asturias,Albania,Spain,2119.06,82800,2023-02-28 19:00:00,Nature
TIA,OVD,542,Tirana,Asturias,Albania,Spain,2119.06,67500,2023-02-28 19:00:00,Nature
TIA,OVD,550,Tirana,Asturias,Albania,Spain,2119.06,82200,2023-02-28 20:55:00,Nature
TIA,OVD,550,Tirana,Asturias,Albania,Spain,2119.06,103500,2023-02-28 17:15:00,Nature
TIA,OVD,615,Tirana,Asturias,Albania,Spain,2119.06,97200,2023-02-28 19:00:00,Nature
TIA,OVD,624,Tirana,Asturias,Albania,Spain,2119.06,60600,2023-02-28 20:55:00,Nature
TIA,BIO,225,Tirana,Bilbao,Albania,Spain,1867.61,141900,2023-02-28 17:15:00,Cultural
TIA,BIO,238,Tirana,Bilbao,Albania,Spain,1867.61,101100,2023-02-28 12:20:00,Cultural
TIA,BIO,239,Tirana,Bilbao,Albania,Spain,1867.61,130800,2023-02-28 20:55:00,Cultural
TIA,BIO,244,Tirana,Bilbao,Albania,Spain,1867.61,100200,2023-02-28 12:20:00,Cultural
TIA,BIO,253,Tirana,Bilbao,Albania,Spain,1867.61,87300,2023-02-28 19:00:00,Cultural
TIA,BIO,277,Tirana,Bilbao,Albania,Spain,1867.61,75300,2023-02-28 12:20:00,Cultural
